; SLOT Identifier, Value(binary), Meaning, Length Minimum(bits)
-5843,00b,A warm-up cycle has not occurred on this engine start,2
-5843,01b,A warm-up cycle has occurred on this engine start,2
-5843,10b,SAE reserved,2
-5843,11b,Not supported or not available,2

; (SA:0 SPN:976) PTO Governor State
-976, 00000b, Off/Disabled,5
-976, 00001b, Hold,5
-976, 00010b, Remote Hold,5
-976, 00011b, Standby,5
-976, 00100b, Remote Standby,5
-976, 00101b, Set,5
-976, 00110b, Decelerate/Coast,5
-976, 00111b, Resume,5
-976, 01000b, Accelerate,5
-976, 01001b, Accelerator Override,5
-976, 01010b, Preprogrammed set speed 1,5
-976, 01011b, Preprogrammed set speed 2,5
-976, 01100b, Preprogrammed set speed 3,5
-976, 01101b, Preprogrammed set speed 4,5
-976, 01110b, Preprogrammed set speed 5,5
-976, 01111b, Preprogrammed set speed 6,5
-976, 10000b, Preprogrammed set speed 7,5
-976, 10001b, Preprogrammed set speed 8,5
-976, 10010b, PTO set speed memory 1,5
-976, 10011b, PTO set speed memory 2,5
-976, 10100b, PTO set speed memory 3,5
-976, 10101b, Reserved,5
-976, 10110b, Reserved,5
-976, 10111b, Reserved,5
-976, 11000b, Reserved,5
-976, 11001b, Reserved,5
-976, 11010b, Reserved,5
-976, 11011b, Reserved,5
-976, 11100b, Reserved,5
-976, 11101b, Reserved,5
-976, 11110b, Reserved,5
-976, 11111b, Not available,5

; (SA:0 SPN:1081) Engine Wait to Start Lamp 
-1081, 00b, Off,2
-1081, 01b, On,2
-1081, 10b, Error,2
-1081, 11b, Not available,2

; SPN:5837 Fuel type
-5837, 00000000b, Not available - NONE,8
-5837, 00000001b, Gasoline/petrol - GAS,8
-5837, 00000010b, Methanol - METH,8
-5837, 00000011b, Ethanol - ETH,8
-5837, 00000100b, Diesel - DSL,8
-5837, 00000101b, Liquefied Petroleum Gas (LPG) - LPG,8
-5837, 00000110b, Compressed Natural Gas (CNG) - CNG,8
-5837, 00000111b, Propane - PROP,8
; -5837, 00001000b to 00010110b, Reserved for use in SPN 5837
-5837, 00010111b, Natural Gas (NG) - NG, 8
; -5837, 00011000b to 00011110b, Reserved for use in SPN 5837
-5837, 00011111b, Kerosene,8
-5837, 00100000b, Heavy Fuel Oil
; -5837, 00100001b to 11111101b, ISO/SAE reserved
-5837, 11111110b, Reserved for use in SPN 5837,8
-5837, 11111111b, Not supported,8

; (SA:0 SPN:3490) AFT 1 Purge Air Actuator
-3490, 00b, not active,2
-3490, 01b, active,2
-3490, 10b, reserved for SAE assignment,2
-3490, 11b, not available,2

; (SA:0 SPN:3521) AFT 1 DEF Property
-3521, 0000b, Urea concentration too high,4
-3521, 0001b, Urea concentration too low,4
-3521, 0010b, Fluid is diesel,4
-3521, 0011b, Diesel exhaust fluid is proper mixture,4
-3521, 0100b, Reserved for SAE assignment,4
-3521, 0101b, Reserved for SAE assignment,4
-3521, 0110b, Reserved for SAE assignment,4
-3521, 0111b, Reserved for SAE assignment,4
-3521, 1000b, Reserved for SAE assignment,4
-3521, 1001b, Reserved for SAE assignment,4
-3521, 1010b, Reserved for SAE assignment,4
-3521, 1011b, Reserved for SAE assignment,4
-3521, 1100b, Diesel exhaust fluid, 4
-3521, 1101b, Not able to determine fluid property (fluid type unknown),4
-3521, 1110b, Error with diesel exhaust fluid property detection,4
-3521, 1111b, Not available,4

; OBD Compliance
-1220, 17, EMD,8
-1220, 20, HD OBD,8
-1220, 182, HD OBD,8
-1220, 19, HD OBD,8
-1220, 34, HD OBD,8
-1220, 35, HD OBD,8
-1220, 22, OBD II,8
-1220, 34, OBD II,8
-1220, 21, WWH OBD,8
-1220, 26, EURO VI HD OBD,8
-1220, 27, HD ZEV,8

; Malfunction Indicator Lamp
-1213, 00b, MIL Off, 2
-1213, 01b, MIL On, 2

; NOx NTE Control Area Status
-4127, 00b, Outside control area, 2
-4127, 01b, Inside control area, 2
-4127, 10b, Reserved, 2
-4127, 11b, Not Available, 2

; Manufacture-specific Nox NTE Limited Testing Region Status
-4128, 00b, Outside control area, 2
-4128, 01b, Inside control area, 2
-4128, 10b, Reserved, 2
-4128, 11b, Not Available, 2

; Nox NTE Deficiency Area Status
-4129, 00b, Outside control area, 2
-4129, 01b, Inside control area, 2
-4129, 10b, Reserved, 2
-4129, 11b, Not Available, 2

; PM NTE Control Area Status
-4130, 00b, Outside control area, 2
-4130, 01b, Inside control area, 2
-4130, 10b, Reserved, 2
-4130, 11b, Not Available, 2

; Manufacture-specific PM NTE Limited Testing Region Status
-4131, 00b, Outside control area, 2
-4131, 01b, Inside control area, 2
-4131, 10b, Reserved, 2
-4131, 11b, Not Available, 2

; PM NTE Deficiency Area Status
-4132, 00b, Outside control area, 2
-4132, 01b, Inside control area, 2
-4132, 10b, Reserved, 2
-4132, 11b, Not Available, 2

; Aftertreatment Diesel Particulate Filter Active Regeneration Status
-3700, 00b, not active, 2
-3700, 01b, active, 2
-3700, 10b, regeneration needed - automatically initiated active regeneration imminent, 2
-3700, 11b, not available, 2

; Aftertreatment 1 Purge Air Actuator
-3490, 00b, not active, 4
-3490, 01b, active, 4
-3490, 10b, reserved for SAE assignment, 4
-3490, 11b, not available, 4

; PTO State
-976, 00000b, Off/Disabled             ,5
-976, 00001b, Hold                     ,5
-976, 00010b, Remote Hold              ,5
-976, 00011b, Standby                  ,5
-976, 00100b, Remote Standby           ,5
-976, 00101b, Set                      ,5
-976, 00110b, Decelerate/Coast         ,5
-976, 00111b, Resume                   ,5
-976, 01000b, Accelerate               ,5
-976, 01001b, Accelerator Override     ,5
-976, 01010b, Preprogrammed set speed 1,5
-976, 01011b, Preprogrammed set speed 2,5
-976, 01100b, Preprogrammed set speed 3,5
-976, 01101b, Preprogrammed set speed 4,5
-976, 01110b, Preprogrammed set speed 5,5
-976, 01111b, Preprogrammed set speed 6,5
-976, 10000b, Preprogrammed set speed 7,5
-976, 10001b, Preprogrammed set speed 8,5
-976, 10010b, PTO set speed memory 1   ,5
-976, 10011b, PTO set speed memory 2   ,5
-976, 10100b, PTO set speed memory 3   ,5
;-976, 10101b to 11110b = Reserved
-976, 11111b, Not available,5

; Engine Wait to Start Lamp 
-1081, 00b, Off, 2
-1081, 01b, On, 2
-1081, 10b, Error, 2
-1081, 11b, Not available, 2

; Engine Variable Geometry Turbocharger 1 Control Mode
-5457, 00b, open loop, 2
-5457, 01b, closed loop, 2
-5457, 10b, SAE reserved, 2
-5457, 11b, not available, 2

; Fuel Type
-5837, 00h, Not available - NONE, 8
-5837, 01h, Gasoline/petrol - GAS, 8
-5837, 02h, Methanol - METH, 8
-5837, 03h, Ethanol - ETH, 8
-5837, 04h, Diesel - DSL, 8
-5837, 05h, Liquefied Petroleum Gas (LPG) - LPG, 8
-5837, 06h, Compressed Natural Gas (CNG) - CNG, 8
-5837, 07h, Propane - PROP, 8
-5837, 08h, Battery/electric - ELEC, 8
-5837, 09h, Bi-fuel vehicle using gasoline - BI_GAS, 8
-5837, 0Ah, Bi-fuel vehicle using methanol - BI_METH, 8
-5837, 0Bh, Bi-fuel vehicle using ethanol - BI_ETH, 8
-5837, 0Ch, Bi-fuel vehicle using LPG - BI_LPG, 8
-5837, 0Dh, Bi-fuel vehicle using CNG - BI_CNG, 8
-5837, 0Eh, Bi-fuel vehicle using propane - BI_PROP, 8
-5837, 17h, Natural Gas (NG) - NG, 8
-5837, 18h, Bi-fuel vehicle using NG – BI_NG, 8
-5837, 19h, Bi-fuel using diesel, 8
-5837, 1Ah, Natural Gas (Compressed or Liquefied Natural Gas), 8
-5837, 1Bh, Dual Fuel – Diesel and CNG, 8
-5837, 1Ch, Dual Fuel – Diesel and LNG, 8
-5837, 1Dh, Fuel Cell Utilizing Hydrogen, 8
-5837, 1Eh, Hydrogen Internal Combustion Engine, 8
-5837, 1Fh, Kerosene, 8
-5837, 20h, Heavy Fuel Oil, 8
;-5837, 21h to FDh = ISO/SAE reserved, 8
-5837, FEh, Error, 8
-5837, FFh, Not available (Parameter not supported), 8

; Aftertreatment 1 Diesel Exhaust Fluid Property 
-3521, 0000b, Urea concentration too high, 4
-3521, 0001b, Urea concentration too low, 4
-3521, 0010b, Fluid is diesel, 4
-3521, 0011b, Diesel exhaust fluid is proper mixture, 4
; -3521, 0100b to 1011b = Reserved for SAE assignment, 4
-3521, 1100b, "Diesel exhaust fluid, but concentration cannot be determined", 4
-3521, 1101b, Not able to determine fluid property (fluid type unknown), 4
-3521, 1110b, Error with diesel exhaust fluid property detection, 4
-3521, 1111b, Not available, 4

; DEF Dosing Mode 
-12749, 00h, "Off, not dosing", 8
; -12749, 01h - Fah = Manufacturer Defined, assign from 1 up or from 250 down., 8
-12749, FBh, Reserved, 8
-12749, FCh, Reserved, 8
-12749, FDh, Reserved, 8
-12749, Feh, Error (Not Dosing), 8
-12749, FFh, Not available, 8

; Aftertreatment 1 Outlet NOx 1 Reading Stable
-3230, 00b, Not stable, 2
-3230, 01b, Stable, 2
-3230, 10b, Error, 2
-3230, 11b, Not available, 2

; Engine Exhaust 1 NOx 1 Reading Stable
-3220, 00b, Not stable, 2
-3220, 01b, Stable, 2
-3220, 10b, Error, 2
-3220, 11b, Not available, 2

; Engine Operating State
-3543, 0000b, Engine Stopped, 4
-3543, 0001b, Pre-Start, 4
-3543, 0010b, Starting, 4
-3543, 0011b, Warm-Up, 4
-3543, 0100b, Running, 4
-3543, 0101b, Cool-down, 4
-3543, 0110b, Engine Stopping, 4
-3543, 0111b, Post-Run, 4
;-3543, 1000b to 1101b = available for SAE assignment, 4
-3543, 1110b, <reserved>, 4
-3543, 1111b, not available, 4

; Hybrid Propulsion Mode Status
;   Verify bit size FIXME
-7896, 0, No mode requested, 8
-7896, 1, Stored Energy Source Sustaining, 8
-7896, 2, Stored Energy Source Increasing, 8
-7896, 3, Stored Energy Source Depleting, 8
-7896, 4, Stored Energy Source Offline, 8
-7896, 5, Stored Energy Source Only, 8
;-7896, 6 to 13 = Reserved, 8
-7896, 14, Error, 8
-7896, 15, Not Available, 8

; Propulsion System Active
-7315, 00b, Propulsion System is not ready to move vehicle if commanded by operator, 2
-7315, 01b, "Propulsion System is ready to move, or is moving the vehicle as commanded by operator", 2
-7315, 10b, SAE Reserved, 2
-7315, 11b, Not Available, 2

; DC Charging State
-13171, 0, Idle. No EVSE connected, 8
-13171, 1, Charging, 8
-13171, 2, Standby, 8
-13171, 3, Reserved, 8
-13171, 4, Power Delivery (Start-up), 8
-13171, 5, reserved, 8
-13171, 6, Power Delivery (Shutdown), 8
-13171, 7, Welding Check, 8
-13171, 8, Charge Parameter Discovery, 8
-13171, 9, Cable Check, 8
-13171, 10, Initializing, 8
-13171, 11, Pre-charge, 8
-13171, 12, Terminating, 8
-13171, 13, "Battery failure. An error condition due to the battery state (high temperature, etc.)", 8
-13171, 14, EVSE fault.  An error condition due to the EVSE, 8
-13171, 15, Not available, 8

; GHG Tracking Lifetime Active Technology Index
-12691, 0, SAE/ISO Reserved, 8
-12691, 1, Waste Heat Recovery, 8
-12691, 2, Cylinder Deactivation, 8
-12691, 3, Active Aerodynamics, 8
-12691, 4, Intelligent Control, 8
-12691, 5, Vehicle Speed Limiting Technology, 8
-12691, 6, Predictive Cruise Control, 8
-12691, 7, Auto Neutral, 8
-12691, 243, Mfg Defined Active Technology 8, 8
-12691, 244, Mfg Defined Active Technology 7, 8
-12691, 245, Mfg Defined Active Technology 6, 8
-12691, 246, Mfg Defined Active Technology 5, 8
-12691, 247, Mfg Defined Active Technology 4, 8
-12691, 248, Mfg Defined Active Technology 3, 8
-12691, 249, Mfg Defined Active Technology 2, 8
-12691, 250, Mfg Defined Active Technology 1, 8
-12691, 254, Error, 8
-12691, 255, Not Available, 8

; GHG Tracking Active 100 Hour Active Technology Index
-12694, 0, SAE/ISO Reserved, 8
-12694, 1, Waste Heat Recovery, 8
-12694, 2, Cylinder Deactivation, 8
-12694, 3, Active Aerodynamics, 8
-12694, 4, Intelligent Control, 8
-12694, 5, Vehicle Speed Limiting Technology, 8
-12694, 6, Predictive Cruise Control, 8
-12694, 7, Auto Neutral, 8
-12694, 243, Mfg Defined Active Technology 8, 8
-12694, 244, Mfg Defined Active Technology 7, 8
-12694, 245, Mfg Defined Active Technology 6, 8
-12694, 246, Mfg Defined Active Technology 5, 8
-12694, 247, Mfg Defined Active Technology 4, 8
-12694, 248, Mfg Defined Active Technology 3, 8
-12694, 249, Mfg Defined Active Technology 2, 8
-12694, 250, Mfg Defined Active Technology 1, 8
-12694, 254, Error, 8
-12694, 255, Not Available, 8

; GHG Tracking Stored 100 Hour Active Technology Index
-12697, 0, SAE/ISO Reserved, 8
-12697, 1, Waste Heat Recovery, 8
-12697, 2, Cylinder Deactivation, 8
-12697, 3, Active Aerodynamics, 8
-12697, 4, Intelligent Control, 8
-12697, 5, Vehicle Speed Limiting Technology, 8
-12697, 6, Predictive Cruise Control, 8
-12697, 7, Auto Neutral, 8
-12697, 243, Mfg Defined Active Technology 8, 8
-12697, 244, Mfg Defined Active Technology 7, 8
-12697, 245, Mfg Defined Active Technology 6, 8
-12697, 246, Mfg Defined Active Technology 5, 8
-12697, 247, Mfg Defined Active Technology 4, 8
-12697, 248, Mfg Defined Active Technology 3, 8
-12697, 249, Mfg Defined Active Technology 2, 8
-12697, 250, Mfg Defined Active Technology 1, 8
-12697, 254, Error, 8
-12697, 255, Not Available, 8
